id,funcion_principal,subcategoria,establecimiento,funcion_secundaria,programacion,sucursal,sala,direccion,calle,altura,barrio,comuna,latitud,longitud,telefono,mail,web,facebook,twitter,instagram,camara_1,camara_2,redes,punto_de_cultura,otras_redes,capacidad_total,codigo_postal,codigo_postal_argentino
182,BAR,NOTABLE,8 ESQUINAS,,,,,FOREST AV. 1186,FOREST AV.,1186,CHACARITA,COMUNA 15,-34.5785172867556,-58.460137150969494,4554-5129,INFO@OCHOESQUINAS.COM.AR,WWW.OCHOESQUINAS.COM.AR,https://www.facebook.com/8esquinasbar/,,@8esquinasbar,,,,,,,1427,C1427CEV
1117,ESPACIO DE FORMACION,,ESCUELA METROPOLITANA DE ARTE DRAMATICA,,,FOREST,ANEXO 3,FOREST AV. 933,FOREST AV.,933,CHACARITA,COMUNA 15,-34.5816379,-58.4570716,,,,,,,,,,,,,1427,C1427CEG
1448,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,GIER MUSIC,,SI,,,ALVAREZ THOMAS AV. 1078,ALVAREZ THOMAS AV.,1078,CHACARITA,COMUNA 15,-34.578781917902,-58.4568571567478,15-6423-8444,bandas@giermusicclub.com.ar,http://www.giermusicclub.com.ar,https://www.facebook.com/GierMusicClub/,,https://www.instagram.com/giermusicclub/,,,,,,,1427,C1427CCX
2117,MONUMENTOS Y LUGARES HISTORICOS,,BOVEDA QUE GUARDA LOS RESTOS DE CARLOS GARDEL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2236,MONUMENTOS Y LUGARES HISTORICOS,,ARCHIVO HISTORICO DEL CREMATORIO MUNICIPAL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2237,MONUMENTOS Y LUGARES HISTORICOS,,CREMATORIO MUNICIPAL,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2238,MONUMENTOS Y LUGARES HISTORICOS,,JORGE ALEJANDRO NEWBERY,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2239,MONUMENTOS Y LUGARES HISTORICOS,,JUAN BAUTISTA AMBROSETTI,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
2241,MONUMENTOS Y LUGARES HISTORICOS,,MANUEL G. ARGERICH,,,,,LACROZE. FEDERICO AV. 4099,LACROZE. FEDERICO AV.,4099,CHACARITA,COMUNA 15,-34.58723,-58.45585,,,,,,,,,,,,,1427,C1427EDF
1713,LIBRERIA,,ALEJANDRO FRANK,,,,,PALPA 3763,PALPA,3763,CHACARITA,COMUNA 15,-34.5821405,-58.455168799999996,,,,,,,,,,,,,1427,C1427EBE
